,id,keywords
66,151386,"[{'id': 3450, 'name': 'bridge'}, {'id': 10093, 'name': 'priest'}]"
67,22994,"[{'id': 1956, 'name': 'world war ii'}, {'id': 4410, 'name': 'u.s. navy'}, {'id': 11823, 'name': 'pacific island'}, {'id': 188326, 'name': 'construction worker'}, {'id': 201831, 'name': 'seabees'}, {'id': 204412, 'name': 'battalion'}]"
68,129105,"[{'id': 9807, 'name': 'film noir'}]"
69,29094,"[{'id': 2619, 'name': 'suspicion of murder'}, {'id': 4007, 'name': 'jack the ripper'}, {'id': 6623, 'name': 'lodger'}, {'id': 8250, 'name': 'victorian england'}, {'id': 9767, 'name': 'beautiful woman'}, {'id': 9807, 'name': 'film noir'}, {'id': 9826, 'name': 'murder'}, {'id': 10714, 'name': 'serial killer'}, {'id': 155451, 'name': 'british noir'}, {'id': 156221, 'name': 'showgirl'}, {'id': 158390, 'name': 'landlady'}, {'id': 160845, 'name': 'dressing room'}, {'id': 174539, 'name': 'police inspector'}, {'id': 190972, 'name': 'dance hall singer'}, {'id': 215235, 'name': 'dead brother'}, {'id': 234775, 'name': 'whitechapel'}, {'id': 239085, 'name': 'rented rooms'}, {'id': 243509, 'name': 'suspicious behavior'}, {'id': 302555, 'name': 'horror noir'}, {'id': 314104, 'name': 'noir'}]"
70,3589,"[{'id': 918, 'name': 'newspaper'}, {'id': 1521, 'name': 'time warp'}, {'id': 2623, 'name': 'headline'}, {'id': 3748, 'name': 'morning'}]"
71,215689,"[{'id': 1415, 'name': 'small town'}, {'id': 6092, 'name': 'army'}, {'id': 196603, 'name': 'bobby soxer'}]"
72,120801,"[{'id': 4344, 'name': 'musical'}]"
73,1939,"[{'id': 931, 'name': 'jealousy'}, {'id': 1523, 'name': 'obsession'}, {'id': 5920, 'name': 'advertising expert'}, {'id': 1366, 'name': 'shotgun'}, {'id': 703, 'name': 'detective'}, {'id': 5340, 'name': 'investigation'}, {'id': 10325, 'name': 'mistaken identity'}, {'id': 9840, 'name': 'romance'}, {'id': 9807, 'name': 'film noir'}, {'id': 9826, 'name': 'murder'}, {'id': 12570, 'name': 'whodunit'}, {'id': 12999, 'name': 'black and white'}, {'id': 14780, 'name': 'investigator'}, {'id': 34038, 'name': 'intrigue'}, {'id': 41388, 'name': 'portrait'}, {'id': 158927, 'name': 'police investigation'}, {'id': 207046, 'name': 'murder mystery'}, {'id': 207431, 'name': 'murder suspect'}, {'id': 207883, 'name': '1940s'}, {'id': 228501, 'name': 'other woman'}, {'id': 288394, 'name': 'suspense'}]"
74,174150,"[{'id': 2652, 'name': 'nazi'}, {'id': 9673, 'name': 'love'}, {'id': 189126, 'name': 'north africa'}, {'id': 192609, 'name': 'supply train'}]"
75,21622,"[{'id': 4344, 'name': 'musical'}, {'id': 4620, 'name': 'magazine'}, {'id': 164623, 'name': 'chorus girl'}, {'id': 197122, 'name': 'cover girl'}]"
76,39407,"[{'id': 2199, 'name': 'opera'}, {'id': 1523, 'name': 'obsession'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 10229, 'name': 'singer'}, {'id': 9826, 'name': 'murder'}, {'id': 10770, 'name': 'mad doctor'}, {'id': 12990, 'name': 'singing'}, {'id': 156034, 'name': 'opera house'}, {'id': 156835, 'name': 'hypnotism'}]"
77,43503,"[{'id': 612, 'name': 'hotel'}, {'id': 4344, 'name': 'musical'}, {'id': 10181, 'name': 'based on play or musical'}]"
78,218098,"[{'id': 4344, 'name': 'musical'}]"
79,32120,"[{'id': 918, 'name': 'newspaper'}, {'id': 1003, 'name': 'photographer'}, {'id': 14586, 'name': 'construction site'}, {'id': 189102, 'name': 'tunnel'}]"
80,81751,"[{'id': 1009, 'name': 'baby'}, {'id': 6038, 'name': 'marriage'}, {'id': 8642, 'name': 'casanova'}, {'id': 160955, 'name': 'second marriage'}]"
81,120747,"[{'id': 1415, 'name': 'small town'}, {'id': 5900, 'name': 'missouri'}, {'id': 5565, 'name': 'biography'}, {'id': 6165, 'name': 'historical figure'}, {'id': 11073, 'name': 'steamboat'}, {'id': 15150, 'name': 'bullfrog'}, {'id': 155585, 'name': ""halley's comet""}]"
82,126759,"[{'id': 74, 'name': 'germany'}, {'id': 12999, 'name': 'black and white'}, {'id': 173295, 'name': 'post office'}]"
83,123665,"[{'id': 478, 'name': 'china'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 248509, 'name': 'japanese occupation of china'}]"
84,996,"[{'id': 4617, 'name': 'insurance fraud'}, {'id': 9016, 'name': 'femme fatale'}, {'id': 9807, 'name': 'film noir'}, {'id': 9826, 'name': 'murder'}, {'id': 11152, 'name': 'life insurance'}, {'id': 12999, 'name': 'black and white'}, {'id': 159531, 'name': 'insurance agent'}, {'id': 163603, 'name': 'insurance policy'}, {'id': 178993, 'name': 'duplicity'}, {'id': 208508, 'name': 'murder plot'}, {'id': 237459, 'name': 'scheming wife'}, {'id': 323917, 'name': 'the perfect murder'}, {'id': 323918, 'name': 'the perfect crime'}]"
85,42401,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 6623, 'name': 'lodger'}, {'id': 9673, 'name': 'love'}, {'id': 10809, 'name': 'teenage girl'}, {'id': 156230, 'name': 'midwest'}, {'id': 168316, 'name': 'home front'}, {'id': 191001, 'name': 'war effort'}, {'id': 227379, 'name': 'rationing'}, {'id': 240315, 'name': 'mother daughter relationship'}]"
